PSRJ|S728|e_S728|S1382|e_S1382|S3100|e_S3100
 |mJy|mJy|mJy|mJy|mJy|mJy
-----------|-------|------|--------|------|-------|------
J1842-0153 |   1.40|  0.20|        |      |  0.150| 0.030
J1842-0359 |  36.00|  8.00|        |      |  3.400| 0.800
J1842-0905 |       |      |   1.040| 0.070|  0.320| 0.050
J1843-0000 |  10.00|  3.00|        |      |  1.200| 0.400
J1843-0211 |   2.00|  0.30|        |      |  0.310| 0.050
J1843-0355 |       |      |   0.890| 0.070|  0.540| 0.050
J1843-0459 |   4.10|  0.60|        |      |  0.210| 0.040
J1843-0702 |       |      |   0.270| 0.040|  0.060|
J1844-0256 |       |      |   0.590| 0.060|  0.350| 0.030
J1844-0433 |  16.00|  4.00|        |      |  0.240| 0.070
J1844-0538 |       |      |   3.200| 0.200|  0.550| 0.070
J1845-0743 |       |      |   3.700| 0.200|  0.900| 0.100
J1845-1114 |   0.80|  0.20|        |      |  0.300| 0.070
J1847-0402 |       |      |   4.900| 0.300|  1.400| 0.200
J1847-0438 |   0.20|      |        |      |  0.150| 0.030
J1847-0605 |   3.00|      |        |      |  0.200|
J1848-0123 |  40.00| 10.00|        |      |  3.100| 0.800
J1848-1414 |   1.70|  0.40|        |      |  0.070| 0.020
J1849-0636 |   7.00|  2.00|        |      |  0.230| 0.060
J1850-0026 |   0.10|      |        |      |  0.600| 0.080
J1852-0635 |  11.00|  2.00|        |      | 10.000| 2.000
J1852-2610 |   1.90|  0.70|        |      |       |
J1853+0545 |   0.30|      |        |      |  1.100| 0.300
J1853-0004 |       |      |   0.700| 0.100|  0.170| 0.020
J1854-1421 |   9.00|  2.00|        |      |  0.500| 0.100
J1855+0307 |   1.90|  0.20|        |      |  0.230| 0.050
J1856+0404 |       |      |        |      |  1.000|
J1857+0212 |   5.60|  0.80|        |      |  0.800| 0.100
J1900-2600 |  50.00| 20.00|        |      |  2.100| 0.700
J1900-7951 |   4.00|  2.00|        |      |  0.100|
J1901+0331 |  39.00|  6.00|        |      |  0.900| 0.200
J1901-0906 |   6.00|  1.00|        |      |  0.190| 0.070
J1902+0556 |       |      |        |      |  0.500| 0.100
